City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
401,Sri Aman,MY,78.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
403,Shahapur,IN,69.28,clear sky,19.45,73.3333,OYO 68690 Hotel New Food Hub
404,Champerico,GT,84.74,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
407,Nelson Bay,AU,83.28,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
409,Mattru,SL,74.32,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
410,Sinnamary,GF,76.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
415,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
417,Lompoc,US,68.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
418,Nanakuli,US,81.1,scattered clouds,21.3906,-158.1547,Camp Pālehua
422,Poso,ID,81.09,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
426,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
429,San Luis,AR,76.33,clear sky,-33.295,-66.3356,Huarpes Hotel
430,Dabakala,CI,76.48,overcast clouds,8.3667,-4.4333,Hôtel Campement
431,Emerald,AU,86.34,clear sky,-23.5333,148.1667,The Irish Village
433,Codrington,AU,69.03,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
435,Burnie,AU,71.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
436,Poum,NC,81.79,broken clouds,-20.2333,164.0167,Gîte kajeon
437,Nacala,MZ,75.0,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
442,Norsup,VU,83.25,heavy intensity rain,-16.0667,167.3833,Nabelchel Bungalows
450,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
455,Karratha,AU,82.11,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
456,Betare Oya,CM,67.23,broken clouds,5.6,14.0833,Auberge Tembina Betaré Oya
458,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
464,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
467,Ulladulla,AU,80.76,broken clouds,-35.35,150.4667,Sandpiper Motel
469,Sal Rei,CV,68.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
477,Vieques,PR,78.62,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
478,West Bay,KY,75.27,broken clouds,19.3667,-81.4167,Calypso Cove
479,Inhumas,BR,73.13,overcast clouds,-16.3578,-49.4961,Hotel Classic
480,Matara,LK,75.63,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
483,San Jose,US,66.85,scattered clouds,37.3394,-121.895,The Westin San Jose
485,Santa Maria Do Para,BR,70.83,overcast clouds,-1.3503,-47.5756,Shopping Motel (Adults Only)
486,Kuang,MY,79.11,few clouds,3.2594,101.5541,Guest House Dpinggiran
487,Posadas,AR,84.18,clear sky,-27.3671,-55.8961,Hotel Posadas
489,Srivardhan,IN,68.74,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
492,Tarauaca,BR,72.99,moderate rain,-8.1614,-70.7656,Flat Temporada
499,Kedougou,SN,82.98,clear sky,12.5579,-12.1743,Relais de Kédougou
500,Sao Jose Da Coroa Grande,BR,76.37,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
506,Mildura,AU,82.08,clear sky,-34.2,142.15,Mercure Hotel Mildura
507,Lake Havasu City,US,65.01,clear sky,34.4839,-114.3224,Heat Hotel
510,Dolores,AR,67.87,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
513,Villa Bruzual,VE,82.53,broken clouds,9.3328,-69.1208,hotel italia
517,Kendari,ID,78.55,overcast clouds,-3.945,122.4989,Hotel Wixel
518,Tampakan,PH,80.53,broken clouds,6.4442,124.9264,AJ Hotel
525,Pacific Grove,US,67.6,clear sky,36.6177,-121.9166,Lovers Point Inn
526,Bandarbeyla,SO,75.33,light rain,9.4942,50.8122,JABIR HOTEL
527,Payo,ID,73.17,overcast clouds,-3.7508,103.6372,Mess keban agung
533,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
538,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
