,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Richards Bay,ZA,-28.783,32.0377,69.76,86,31,0.54,scattered clouds
248,Miri,MY,4.4148,114.0089,75.34,94,40,5.75,scattered clouds
249,Leningradskiy,RU,69.3833,178.4167,-10.08,91,63,5.06,broken clouds
250,Kieta,PG,-6.2167,155.6333,80.1,87,100,7.56,light rain
251,Upernavik,GL,72.7868,-56.1549,0.9,95,100,8.1,overcast clouds
252,Iguape,BR,-24.7081,-47.5553,72.61,93,100,7.72,overcast clouds
253,Rodrigues Alves,BR,-7.738,-72.6509,74.44,95,99,0.31,moderate rain
254,Zhigansk,RU,66.7697,123.3711,-32.55,100,99,3.13,overcast clouds
255,Baykit,RU,61.67,96.37,-10.52,100,98,1.52,overcast clouds
256,Dukat,RU,62.55,155.55,-6.93,99,100,3.71,overcast clouds
257,Namibe,AO,-15.1961,12.1522,70.84,76,100,6.04,overcast clouds
258,Rovaniemi,FI,66.5,25.7167,9.81,85,89,13.8,overcast clouds
259,Saint-Augustin,CA,51.226,-58.6502,7.72,94,100,22.12,snow
260,Cap Malheureux,MU,-19.9842,57.6142,79.29,78,92,1.99,overcast clouds
261,Brae,GB,60.3964,-1.353,39.11,63,49,30.87,scattered clouds
262,Magadan,RU,59.5667,150.8,15.96,76,100,13.6,overcast clouds
263,Lagos,NG,6.5833,3.75,77.32,44,44,3.65,scattered clouds
264,Coihaique,CL,-45.5752,-72.0662,52.41,76,75,6.91,light intensity shower rain
265,Dingle,PH,10.9995,122.6711,78.93,82,19,1.32,few clouds
266,Ouesso,CG,1.6136,16.0517,70.21,34,84,1.68,broken clouds
267,Ullapool,GB,57.8987,-5.1604,41.34,77,71,5.99,broken clouds
268,Nakhon Sawan,TH,15.7,100.0833,74.08,55,48,0.98,scattered clouds
269,Hanumangarh,IN,29.5833,74.3167,51.33,53,8,4.56,clear sky
270,Chuy,UY,-33.6971,-53.4616,66.6,77,12,8.01,few clouds
271,Vilhena,BR,-12.7406,-60.1458,71.82,94,75,3.44,light rain
272,Chakia,IN,26.4167,85.05,49.37,78,0,6.42,clear sky
273,Chilliwack,CA,49.1747,-121.9443,44.73,76,99,0.0,overcast clouds
274,Port Blair,IN,11.6667,92.75,75.24,83,75,0.0,mist
275,Tarakan,ID,3.3,117.6333,80.1,89,40,6.91,scattered clouds
276,Krasnoselkup,RU,65.7,82.4667,-14.46,99,99,8.3,overcast clouds
277,Sobolevo,RU,54.4299,31.8996,22.66,92,100,15.93,light snow
278,Cabedelo,BR,-6.9811,-34.8339,77.67,80,74,9.19,broken clouds
279,Constitucion,CL,-35.3333,-72.4167,59.09,92,44,7.87,scattered clouds
280,Kibala,TD,9.1104,18.3463,73.72,20,68,8.3,broken clouds
281,Puerto Maldonado,PE,-12.6,-69.1833,73.18,99,99,0.45,overcast clouds
282,Biltine,TD,14.5333,20.9167,62.33,14,8,12.44,clear sky
283,Riyadh,SA,24.6877,46.7219,48.34,41,0,8.23,clear sky
284,Trincomalee,LK,8.5711,81.2335,77.94,82,35,0.74,scattered clouds
285,Lulea,SE,65.5842,22.1547,17.67,93,100,10.36,overcast clouds
286,Sarai,RU,53.7458,41.0213,25.95,97,100,4.94,overcast clouds
287,Rocha,UY,-34.4833,-54.3333,64.74,80,2,7.43,clear sky
288,Georgetown,MY,5.4112,100.3354,81.9,88,20,0.0,mist
289,Aden,YE,12.7794,45.0367,76.21,71,75,11.32,broken clouds
290,Kamenka,RU,51.3223,42.7678,31.75,99,100,6.46,light snow
291,Pombia,IT,45.653,8.6336,44.31,65,0,3.44,clear sky
292,Misasi,TZ,-3.0,33.0833,67.55,80,100,6.6,overcast clouds
293,Karlstad,SE,59.3793,13.5036,39.76,48,40,25.32,squalls
294,Inhambane,MZ,-23.865,35.3833,76.66,72,82,7.99,broken clouds
295,Moron,AR,-34.6534,-58.6198,78.03,66,62,1.99,broken clouds
296,Portree,GB,57.4129,-6.1942,40.86,89,45,4.43,scattered clouds
297,Cabiraoan,PH,18.3238,122.086,74.86,95,93,6.04,overcast clouds
298,Phan Thiet,VN,10.9333,108.1,73.85,85,93,3.2,overcast clouds
299,Znamenskoye,RU,57.1281,73.8282,5.86,86,100,7.94,overcast clouds
300,Lorengau,PG,-2.0226,147.2712,84.33,71,87,7.34,overcast clouds
301,Russell,US,32.3502,-85.1999,38.8,43,0,0.0,clear sky
302,Lipki,RU,53.9699,37.7028,15.3,98,98,5.19,overcast clouds
303,Senno,RU,59.5336,33.9167,16.07,91,100,11.95,overcast clouds
304,Buala,SB,-8.145,159.5921,85.69,68,100,7.45,overcast clouds
305,Nizwa,OM,22.9333,57.5333,64.99,46,2,1.43,clear sky
306,Siniscola,IT,40.5719,9.6922,47.75,62,2,6.15,clear sky
307,Port Elizabeth,ZA,-33.918,25.5701,66.49,88,0,8.05,clear sky
308,Namatanai,PG,-3.6667,152.4333,83.32,74,100,4.56,light rain
309,Fairbanks,US,64.8378,-147.7164,-9.4,70,0,3.44,clear sky
310,Kushmurun,KZ,52.4503,64.6311,8.1,94,100,9.64,overcast clouds
311,Pangnirtung,CA,66.1451,-65.7125,-18.98,99,100,2.48,overcast clouds
312,Qui Nhon,VN,13.7667,109.2333,71.89,87,96,5.82,overcast clouds
313,Gaoua,BF,10.2992,-3.2508,75.65,19,32,5.17,scattered clouds
314,Krivodol,BG,43.3744,23.4844,31.8,73,40,4.76,scattered clouds
315,Altay,CN,47.8667,88.1167,1.89,53,43,7.67,scattered clouds
316,Sakakah,SA,29.9697,40.2064,44.17,50,0,8.32,clear sky
317,Paita,PE,-5.0892,-81.1144,75.76,78,39,10.56,scattered clouds
318,Olafsvik,IS,64.8945,-23.7142,38.07,63,100,25.52,overcast clouds
319,Skelleftea,SE,64.7507,20.9528,19.76,68,100,3.0,overcast clouds
320,Sitka,US,57.0531,-135.33,37.29,60,75,10.36,broken clouds
321,Rio Grande,BR,-32.035,-52.0986,71.94,63,18,12.86,few clouds
322,Haines Junction,CA,60.7522,-137.5108,12.15,67,100,10.36,overcast clouds
323,Kloulklubed,PW,7.0419,134.2556,82.9,77,87,11.52,overcast clouds
324,Maputo,MZ,-25.9653,32.5892,72.23,94,100,7.0,moderate rain
325,Quimperle,FR,47.8667,-3.55,47.98,93,100,2.3,overcast clouds
326,Keetmanshoop,NA,-26.5833,18.1333,77.92,57,98,9.22,overcast clouds
327,Sola,VU,-13.8833,167.55,82.69,78,90,19.1,overcast clouds
328,Sandomierz,PL,50.6827,21.749,39.78,94,100,15.01,overcast clouds
329,Prado,BR,-17.3411,-39.2208,78.51,84,1,12.37,clear sky
330,Luanda,AO,-8.8368,13.2343,77.99,85,100,5.88,overcast clouds
331,Cordoba,AR,-31.4135,-64.1811,74.43,70,0,8.05,clear sky
332,Sale,MA,34.0389,-6.8166,62.64,76,50,0.0,scattered clouds
333,College,US,64.8569,-147.8028,-6.14,70,20,0.0,few clouds
334,Gizo,SB,-8.103,156.8419,84.0,73,93,6.08,light rain
335,Hofn,IS,64.2539,-15.2082,30.88,62,41,9.66,scattered clouds
336,Wangqing,CN,43.3218,129.7634,5.11,86,29,1.05,scattered clouds
337,Hambantota,LK,6.1241,81.1185,77.79,82,78,7.54,broken clouds
338,Boende,CD,-0.2167,20.8667,71.91,60,13,3.2,few clouds
339,Vostok,RU,46.4856,135.8833,-11.83,95,94,3.31,overcast clouds
340,Cayenne,GF,4.9333,-52.3333,79.09,85,0,4.0,clear sky
341,Rafai,CF,4.95,23.9167,64.96,31,24,3.62,few clouds
342,Torbay,CA,47.6666,-52.7314,37.27,95,100,23.02,mist
